指标名称,指标编码/ID,指标描述,负责人/维护人,数据来源表/视图,参考日期/事件时间字段,过滤条件,事实字段/核心度量字段,算法/聚合方式,维度字段,计算逻辑详细说明,计算粒度,单位,典型统计周期,更新频率,应用场景,业务规则备注,依赖指标,创建日期,修订历史 
小负损综合评分,SMALL_NEGATIVE_LOSS_SCORE,综合评估台区小负损风险的评分,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, C_AR_CT_PT_CHANGE_LOG, 户变关系变更记录, 异常用电大宽表",STATIS_DATE,TQ_SMALL_NEGATIVE_LOSS_DAYS > 60,"LOSS_RATIO, GM_CT_SMALL_NEGATIVE_ABNORMAL, GM_RELATION_SMALL_NEGATIVE_ERROR, GM_DER_SMALL_NEGATIVE_METERING, GM_CLOCK_SMALL_NEGATIVE_DEVIATION","0.3*NORM(ABS(LOSS_RATIO)) + 0.25*NORM(GM_CT_SMALL_NEGATIVE_ABNORMAL) + 0.25*NORM(GM_RELATION_SMALL_NEGATIVE_ERROR) + 0.1*NORM(GM_DER_SMALL_NEGATIVE_METERING) + 0.1*NORM(GM_CLOCK_SMALL_NEGATIVE_DEVIATION)",REGION_ID,"综合各项指标，通过加权平均计算小负损风险评分，评分越高表明小负损风险越大，线损率在-3%至0%之间",台区,分,月/季/年,日更新,线损异常分析,评分高的台区需优先排查,TQ_SMALL_NEGATIVE_LOSS_DAYS,2023-05-20,
长期负损综合评分,LONG_TERM_NEGATIVE_LOSS_SCORE,综合评估台区长期负损风险的评分,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, C_AR_CT_PT_CHANGE_LOG, 户变关系变更记录, 异常用电大宽表",STATIS_DATE,TQ_NEGATIVE_LOSS_DAYS > 90,"LOSS_RATIO, GM_CT_NEGATIVE_ABNORMAL, GM_RELATION_NEGATIVE_ERROR, GM_WIRING_NEGATIVE_ERROR, GM_PHASE_NEGATIVE_ERROR, GM_DER_NEGATIVE_METERING, GM_CLOCK_NEGATIVE_DEVIATION","0.3*NORM(ABS(LOSS_RATIO)) + 0.15*NORM(GM_CT_NEGATIVE_ABNORMAL) + 0.15*NORM(GM_RELATION_NEGATIVE_ERROR) + 0.15*NORM(GM_WIRING_NEGATIVE_ERROR) + 0.1*NORM(GM_PHASE_NEGATIVE_ERROR) + 0.1*NORM(GM_DER_NEGATIVE_METERING) + 0.05*NORM(GM_CLOCK_NEGATIVE_DEVIATION)",REGION_ID,"综合各项指标，通过加权平均计算长期负损风险评分，评分越高表明长期负损风险越大",台区,分,月/季/年,日更新,线损异常分析,评分高的台区需优先排查,,2023-05-20,
突发负损检测,SUDDEN_NEGATIVE_LOSS_DETECTION,检测台区线损率的突发性降低,系统管理员,M_ENERGY_STATIS_REGION_DAILY,STATIS_DATE,(PREV_LOSS_RATIO - LOSS_RATIO) > SUDDEN_DECREASE_THRESHOLD AND LOSS_RATIO < 0,"LOSS_RATIO, PREV_LOSS_RATIO",AVG(LOSS_RATIO OVER PREV_5_DAYS) - LOSS_RATIO,REGION_ID,"计算前5天平均线损率与当日线损率的差值，差值超过阈值且当日线损率为负值则判定为突发负损",台区,%,日,日更新,线损异常分析,突发负损需及时处理,,2023-05-20,
CT倍率突变负损指标(总表),GM_CT_SUDDEN_NEGATIVE,总表CT倍率突变导致负损评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_ENERGY_STATIS_REGION_DAILY","CHANGE_TIME, STATIS_DATE",CT_PT_TYPE = 'CT' AND IsGM = 1 AND DATEDIFF(STATIS_DATE, CHANGE_TIME) <= 3 AND LOSS_RATIO < 0,"NEW_RATE/OLD_RATE, LOSS_RATIO",ABS((NEW_RATE/OLD_RATE) - 1) * 100,REGION_ID,"计算总表CT倍率变更前后的倍率变化幅度，同时检测变更后3天内线损率是否突变为负值，通常CT倍率突然减小导致负损",台区,%,日,实时更新,突发负损原因分析,CT倍率突变是导致突发负损的主要原因之一,,2023-06-01,
CT倍率突变负损指标(分表),SM_CT_SUDDEN_NEGATIVE,分表CT倍率突变导致负损评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_Data_View_Daily","CHANGE_TIME, FreezeDate",CT_PT_TYPE = 'CT' AND IsGM = 0 AND DATEDIFF(FreezeDate, CHANGE_TIME) <= 3 AND REGION_LOSS_RATIO < 0,"NEW_RATE/OLD_RATE, Usage",ABS((NEW_RATE/OLD_RATE) - 1) * 100,MeterNo,"计算分表CT倍率变更前后的倍率变化幅度，同时检测变更后3天内分表用电量是否突增导致台区负损，通常分表CT倍率突然增大导致负损",用户表,%,日,实时更新,突发负损原因分析,分表CT倍率突增会导致分表用电量虚高,,2023-06-01,
户表关系突变负损指标(总表),GM_RELATION_SUDDEN_NEGATIVE,总表关联户表突变导致负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 户变关系变更记录","STATIS_DATE, CHANGE_TIME",DATEDIFF(STATIS_DATE, CHANGE_TIME) <= 3 AND LOSS_RATIO < 0,"LOSS_RATIO, CHANGE_COUNT",LOSS_RATIO - PRE_CHANGE_LOSS_RATIO,REGION_ID,"计算户表关系变更前后线损率的变化幅度，变更后线损率突变为负值表明可能存在户表关系错误，如误将不属于此台区的电表关联到此台区",台区,%,日,日更新,突发负损原因分析,户表关系变更是导致突发负损的常见原因,,2023-06-01,
户表关系突变负损指标(分表),SM_RELATION_SUDDEN_NEGATIVE,分表关联台区突变导致负损程度,系统管理员,"M_Data_View_Daily, 户变关系变更记录","FreezeDate, CHANGE_TIME",DATEDIFF(FreezeDate, CHANGE_TIME) <= 3 AND REGION_LOSS_RATIO < 0,"Usage, CHANGE_TYPE",COUNT(DISTINCT MeterNo) / COUNT(DISTINCT REGION_MeterNo),"AreaId, NEW_REGION_ID, OLD_REGION_ID","计算台区内近期变更关系的电表数量占比，同时检测变更后台区是否出现负损，变更占比高且出现负损表明可能是户表关系错误导致",台区,%,日,日更新,突发负损原因分析,需重点关注大容量电表的台区归属变更,,2023-06-01,
恶劣天气突变负损指标(总表),GM_WEATHER_SUDDEN_NEGATIVE,总表受恶劣天气影响突变负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 天气数据表","STATIS_DATE, WEATHER_DATE",WEATHER_CONDITION IN ('暴雨', '台风', '雷暴', '冰雪') AND DATEDIFF(STATIS_DATE, WEATHER_DATE) <= 1 AND LOSS_RATIO < 0,"LOSS_RATIO, WEATHER_SEVERITY",LOSS_RATIO - AVG(LOSS_RATIO OVER PREV_NORMAL_DAYS),"REGION_ID, WEATHER_CONDITION","计算恶劣天气期间线损率与正常天气期间线损率的差值，同时检测是否变为负值，差值大且为负值表明天气可能影响计量设备正常工作导致负损",台区,%,日,日更新,突发负损原因分析,恶劣天气可能导致通信中断或计量设备异常,,2023-06-01,
恶劣天气突变负损指标(分表),SM_WEATHER_SUDDEN_NEGATIVE,分表受恶劣天气影响突变负损程度,系统管理员,"M_Data_View_Daily, 天气数据表, 异常用电大宽表","FreezeDate, WEATHER_DATE",WEATHER_CONDITION IN ('暴雨', '台风', '雷暴', '冰雪') AND DATEDIFF(FreezeDate, WEATHER_DATE) <= 1 AND REGION_LOSS_RATIO < 0,"Event-2001, Event-2002, Event-2003, Usage",COUNT(Event-2001 OR Event-2002 OR Event-2003) / COUNT(DISTINCT MeterNo),"MeterNo, AreaId","统计恶劣天气期间电表电压异常、信号中断等事件的发生占比，同时检测分表用电量是否异常增加，可能是天气导致分表计量异常造成台区负损",用户表,%,日,日更新,突发负损原因分析,分表计量异常可能与天气密切相关,,2023-06-01,
计量装置接线突变负损指标(总表),GM_WIRING_SUDDEN_NEGATIVE,总表计量装置接线突变导致负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 异常用电大宽表, 设备维护记录",STATIS_DATE,IsGM = 1 AND DATEDIFF(STATIS_DATE, MAINTENANCE_DATE) <= 3 AND LOSS_RATIO < 0,"Power_Factor, LOSS_RATIO, MAINTENANCE_TYPE",ABS(Power_Factor - PRE_MAINTENANCE_POWER_FACTOR),REGION_ID,"计算总表维护前后功率因数的变化幅度，同时检测维护后线损率是否突变为负值，变化幅度大且线损率为负表明可能存在接线错误如CT反极性安装",台区,无量纲,日,日更新,突发负损原因分析,设备维护后接线错误是导致突发负损的高频原因,,2023-06-01,
计量装置接线突变负损指标(分表),SM_WIRING_SUDDEN_NEGATIVE,分表计量装置接线突变导致负损程度,系统管理员,"M_Data_View_Daily, 异常用电大宽表, 设备维护记录",FreezeDate,IsGM = 0 AND DATEDIFF(FreezeDate, MAINTENANCE_DATE) <= 3 AND REGION_LOSS_RATIO < 0,"Event-1025, Event-1026, Event-1027, Power_Factor, MAINTENANCE_TYPE",COUNT(Event-1025 OR Event-1026 OR Event-1027) / COUNT(DISTINCT MeterNo WHERE MAINTENANCE_TYPE IS NOT NULL),MeterNo,"统计近期经过维护的分表中出现相序异常、接线错误等事件的电表占比，同时检测台区是否出现负损，占比高且出现负损表明可能是维护导致的接线错误",用户表,%,日,日更新,突发负损原因分析,需检查近期维护记录与接线错误事件的关联性,,2023-06-01,
突发负损综合评分,SUDDEN_NEGATIVE_LOSS_SCORE,综合评估台区突发负损风险的评分,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, C_AR_CT_PT_CHANGE_LOG, 户变关系变更记录, 异常用电大宽表, 天气数据表, 设备维护记录",STATIS_DATE,SUDDEN_NEGATIVE_LOSS_DETECTION > 0,"GM_CT_SUDDEN_NEGATIVE, GM_RELATION_SUDDEN_NEGATIVE, GM_WEATHER_SUDDEN_NEGATIVE, GM_WIRING_SUDDEN_NEGATIVE","0.3*NORM(GM_CT_SUDDEN_NEGATIVE) + 0.25*NORM(GM_RELATION_SUDDEN_NEGATIVE) + 0.15*NORM(GM_WEATHER_SUDDEN_NEGATIVE) + 0.3*NORM(GM_WIRING_SUDDEN_NEGATIVE)",REGION_ID,"综合各项指标，通过加权平均计算突发负损风险评分，评分越高表明突发负损与相应原因的关联性越大",台区,分,日,日更新,线损异常分析,评分高的台区需优先排查具体对应原因,SUDDEN_NEGATIVE_LOSS_DETECTION,2023-06-01, 
